Typ,Link,Geplant
smart watch,https://www.indiegogo.com/projects/smartwatch-powered-by-you-matrix-powerwatch-2,Jun-19,Adresse ausgefüllt
Fahrradhelm,Aug-19
OYO Gym - TRANSFORM YOUR BODY,https://www.indiegogo.com/projects/oyo-personal-gym-all-in-one-full-body-gym,???
Babahu X1 - 1st AI Powered Hand Free Toothbrush,https://www.indiegogo.com/projects/babahu-x1-1st-ai-powered-hand-free-toothbrush/x/19805889,Abgelehnt?
Fat Freezer Platinum: Freeze away stubborn fat,https://www.indiegogo.com/projects/fat-freezer-platinum-freeze-away-stubborn-fat
mycroft,https://www.kickstarter.com/projects/aiforeveryone/mycroft-mark-ii-the-open-voice-assistant/description,verschoben
Balanx EMS Training Suit,https://www.indiegogo.com/projects/balanx-ems-training-suit--2
Nebula Cosmos Max: World's 1st 4K Home Cinema with 3D Audio,,Apr-20
Air Suit,https://www.kickstarter.com/projects/gottlich/air-the-worlds-most-breathable-blazer-ever/checkouts/110417291/thanks,May-20
Circular™ Smart Ring,https://www.kickstarter.com/projects/circular-ring/circulartm-smart-ring-sleep-energy-performance-evolved,Aug-20